param;name;Information;Body;Mass;Type_ВВ;Massa_BB;Segment_radius;Segment_angle;Mine_height;Type_of_target_sensors;Length_of_the_target_tension_sensor;The_actuation_force_of_the_target_tension_sensor;The_time_of_bringing_the_combat_position;The_height_of_the_splinter_spread;The_radius_of_defeat;The_radius_of_separation_of_individual_fragments;Recoverability;Decontamination;Self-destruction;Diameter_mine;Diameter_of_the_pressure_sensor_of_the_target;Combat_operation_time;Temperatura;Vzrivatel;Dlina_mine;tolshina_mine;broneboynost;The_radius_of_the_target_detection_range;non-involvement;Photo
protivpexot;M86 PDM (США);Является ручной модификацией мины M67/M72, использующейся в системе дистанционного минирования ADAM. Мина M86 PDM представляет собой противопехотную выпрыгивающую осколочную мину кругового поражения. Поражение наносится осколками корпуса выбрасываемого боевого элемента.Применяемый взрыватель- встроенный.;Металл, пластик;544,3 гр.;Composition A5 (91% гексогена + 9% пластификатора);21 гр;7,43 см;72 градуса;8,14 см;натяжные (7 шт.), пространственный (изменение положения корпуса мины);6 м;454 гр;70 сек;15- 250 см;до 4 м;до 10 м;нет;нет;4 час (+/- 20 %);;;;;встроенный;;;;;;"M86_1.png
M86_2.png"
protivpexot;M26 (США);M26 противопехотная выпрыгивающая осколочная натяжная/нажимная;алюминий;988 г;композиция В;170 гр;;;14.48 см;;четыре проволоки в разные стороны по 6 м. каждая;6.4-13 кг;;около 2 метров;до 3-4 м;;да;да;нет;7.9 см;4.5 см;не определено;-4 - +52 градуса;встроенный;;;;;;M26_1.png
protivpexot;TS-50 (Итальянская);Мина TS50 (фугасная), применяемая против живой силы, рассчитана на механизированную установку на поверхность грунта внаброс, в том числе и с вертолетов. Ее можно устанавливать и вручную как на поверхность грунта, так и в грунт под маскировочный слой толщиной до 3 см. Мина достаточно устойчива к ударам и воздействию взрывной волны. Мина состоит из пластмассового корпуса (желтокоричневого цвета);пластмасса;203 гр.;;52 гр.;;;4.85 см;;;7-12,5 кг;;;;;;;;9 см;;;;;;;;;;TS-50_1.png
protivpexot;"M18A1 ""Клеймор"" (США)";Мина М18A1 противопехотная осколочная управляемая направленного поражения.Мина может устанавливаться на грунт или крепиться к местным предметам (столбы, стены, стволы деревьев и т.п.) вручную. Установка средствами механизации не предусматривалась. Зона поражения мины является сектор 60 град., радиус 50м, высота от 10см. до 4м.;пластмасса;1.6 кг;С-3;682 гр;;;9 см;;;;;;;;нет;нет;нет;;;не ограничивается;;;21.5 см;3.5см;;;;"M18A1_1.png
M18A1_2.png"
protivpexot;"M25 ""Элси"" (США)";"Мина М25 ""Элси"" противопехотная кумулятивная нажимного действия. Мина может устанавливаться только в грунт, в снег, вручную. Это вызвано формой мины, не позволяющей оставаться ей в вертикальном положении при попытке поставить ее на поверхность. При установке в снег под ее верхнюю часть подкладывается широкое кольцо с отверстием посередине с тем, чтобы при наступании на мину не произошло ее утапливание в снег, а произошел бы взрыв. В предвидении возникновения необходимости разминирования минного поля из мин М25 своими саперами при установке мины использовалось металлическое кольцо. Это делалось с тем, чтобы миноискатели могли обнаружить мину.";пластмасса;90 гр;тетрил;9 гр;;;;;;7 - 10 кг;;;;;нет;нет;нет;;1.5см;не ограничивается;;Встроенный;;;;;;"M25_1.png
M25_2.png"
protivpexot;M14 (США);"Мина М14 противопехотная фугасная нажимного действия. Мина может устанавливаться как на грунт, так и в грунт, вснег, под воду вручную. Установка средствами
механизации не предусматривалась.";пластмасса;130 гр;тетрил;30 гр;;;4 см;;;8 - 25 кг;;;;;нет;нет;нет;5.6 см;3.8см;не ограничивается;-40 --+50 град;Встроенный;;;;;;"M14_1.png
M14_2.png"
protivpexot;Рейнджер (Великобритания);"Мина ""Рейнджер"" противопехотная фугасная. Мина может устанавливаться только на грунт внаброс за счет выбрасывания из кассеты минного заградителя пороховым зарядом. В одной кассете 72 мины. В боевое положение переводится через 20 секунд с момента падения на землю.";алюминий;120гр;гесоген;10гр;;;3.4см;;;10 кг;;;;;нет;нет;нет;6.2см;6.2 см;не ограничивается;;;;;;;;"reynger_1.png
reynger_2.png"
protivpexot;VS50 (Италия);Мина VS50 фугасная нажимного действия. Мина может устанавливаться как на грунт, так и в грунт, в снег вручную или рассеиваться на высоте до 100 м из вертолетов. Герметичность мины позволяет использовать ее в водонасыщенных и болотистых грунтах. Ввиду плавучести мины уровень воды не должен превышать 2 см. от низа мины.;пластмасса;185 гр;TNT/RDX, RDX;42-45 гр;;;4.5 см;;;10 кг;;;;;нет;нет;нет;9 см;3.5 см;не ограничивается;-20 - +40 град;;;;;;;"VS50_1.png
VS50_2.png"
protivpexot;ДМ11 (Германия);Мина ДМ11 противопехотная фугасная. Мина может устанавливаться в грунт (снег) или на грунт вручную или средствами механизации. В боевое положение переводится немедленно после удаления предохранительной чеки.;пластмасса;200гр;тротил;110гр;;;12.6см;;;10 кг;;;;;нет;нет;нет;10.2см;4 см;не ограничивается;;;;;;;;"DM11_1.png
DM11_2.png"
protivpexot;vs mk2 (Италия);Мину vs mk2 чрезвычайно трудно обнаружить из-за низкого содержания металла, т.е. это минимальная металлическая мина . Кроме того, она устойчива к избыточному давлению взрыва благодаря пневматической системе в взрывателе . Мина также будет работать на глубине до 1 метра воды. Противопехотная фугасная мина нажимная;;135 г;RDX флегматизированного с парафиновым воском;33 гр;;;32 мм;;;12 кг;;;;;нет;нет;нет;90 мм;;не ограничивается;;;;;;;;vs mk2_1.png
